Position_m,Temperature_t=0.00000000s,Temperature_t=1.66666667s,Temperature_t=3.33333333s,Temperature_t=5.00000000s,Temperature_t=6.66666667s,Temperature_t=8.33333333s,Temperature_t=10.00000000s,Temperature_t=11.66666667s,Temperature_t=13.33333333s,Temperature_t=15.00000000s,Temperature_t=16.66666667s,Temperature_t=18.33333333s
-0.0012,43.95525217844493,41.47594951263981,40.90514601941216,40.65247086149822,40.510022969970294,40.41861084738108,40.35498093532225,40.30814131354174,40.27222207352159,40.243803513083414,40.22075862596448,40.201695080135764
-0.0009599999999999999,43.971303431615254,41.47778709845,40.90580281147761,40.652802974620776,40.51022383821462,40.41874659954608,40.355079939271285,40.308217644308975,40.27228346402777,40.243854546028814,40.22080218116219,40.20173305411133
-0.0007199999999999999,43.983832760758055,41.479024181809805,40.90622621797843,40.65301177257868,40.51034898123727,40.41883155987795,40.35514286579415,40.30826731479188,40.272324585913836,40.243889845879316,40.22083333561751,40.201761144984204
-0.00047999999999999996,43.99280647611375,41.47957219363422,40.90637647129044,40.65307483417432,40.51038434943524,40.418856417435734,40.35516336405642,40.30828595125939,40.27234245130974,40.24390743209733,40.22085086185285,40.20177870089851
-0.00023999999999999998,43.998200404939254,41.47916892711743,40.906135022143076,40.65292516286451,40.510287915500285,40.418793303672246,40.35512241917713,40.308260456202,40.27232811235779,40.24390137400981,40.220851085302996,40.20178377211073
0.00023999999999999998,43.998200404939254,41.47916892711743,40.906135022143076,40.65292516286451,40.510287915500285,40.418793303672246,40.35512241917713,40.308260456202,40.27232811235779,40.24390137400981,40.220851085302996,40.20178377211073
0.00047999999999999996,43.99280647611375,41.47916892711743,40.906135022143076,40.65292516286451,40.510287915500285,40.418793303672246,40.35512241917713,40.308260456202,40.27232811235779,40.24390137400981,40.220851085302996,40.20178377211073
0.0007199999999999999,43.983832760758055,41.478379282368444,40.90584006216653,40.652772386821596,40.51019474045412,40.41873061297344,40.35507737841016,40.3082265404402,40.27230165691652,40.243880163218776,40.2208337012396,40.20176926542326
0.0009599999999999999,43.971303431615254,41.47697017557786,40.905313577006694,40.65249966070478,40.510028399882295,40.41861869006252,40.3549969640378,40.30816598707287,40.27225442250737,40.24384229231412,40.2208026624745,40.20174336392033
0.0012,43.95525217844493,41.4749995831676,40.90457699931114,40.6521180350485,40.509795616001846,40.41846205039982,40.35488441653364,40.308081234132175,40.27218830965425,40.24378928427579,40.22075921670575,40.20170710842849
0.0014399999999999999,43.93572205709003,41.47249526409421,40.90364039408835,40.65163265419521,40.50949950271383,40.418262778983916,40.35474122883977,40.30797340301414,40.27210419141672,40.24372183802766,40.220703936060126,40.201660975893454
0.0016799999999999999,43.91276529704895,41.46947366867865,40.90250952583384,40.65104641758926,40.50914179882854,40.41802203304183,40.35456822604642,40.30784311150993,40.272002547600366,40.243640336930575,40.22063713385436,40.20160522716513
0.0019199999999999998,43.88644306875649,41.46594623457483,40.901188212954274,40.650361199778935,40.50872361228256,40.417740542824646,40.354365925225636,40.30769074477835,40.27188367613451,40.24354501826189,40.22055900350233,40.201540022915914
0.0021599999999999996,43.856825212024944,41.46192197385129,40.89967929633215,40.64957835248539,40.50824572645926,40.41741881775516,40.354134683562116,40.307516566900155,40.271747780095104,40.243436042990645,40.22046967570446,40.201465471366056
0.0024,43.8239899273324,41.457408693718875,40.89798509737387,40.648698942200895,40.50770874519567,40.417057244030886,40.35387476849465,40.30732077370382,40.27159500891576,40.24331352882186,40.220369245532396,40.201381650886695
