Position_m,Temperature_t=0.00000000s,Temperature_t=0.90909091s,Temperature_t=1.81818182s,Temperature_t=2.72727273s,Temperature_t=3.63636364s,Temperature_t=4.54545455s,Temperature_t=5.45454545s,Temperature_t=6.36363636s,Temperature_t=7.27272727s,Temperature_t=8.18181818s,Temperature_t=9.09090909s,Temperature_t=10.00000000s,Temperature_t=10.90909091s,Temperature_t=11.81818182s,Temperature_t=12.72727273s,Temperature_t=13.63636364s,Temperature_t=14.54545455s,Temperature_t=15.45454545s,Temperature_t=16.36363636s,Temperature_t=17.27272727s,Temperature_t=18.18181818s,Temperature_t=19.09090909s
0.060239999999999995,100.00000000000487,100.00000001268347,100.00000083870356,100.00001146845075,100.00006844854221,100.00024997771402,100.00066605681074,100.00143209110445,100.0026435746676,100.00436154400461,100.00660925225912,100.00937637856777,100.01262676985732,100.01630686600943,100.02035323557203,100.02469858244612,100.0292761366056,100.03402261262883,100.0388800173405,100.04379659311024,100.04872714711952,100.05363296752589
0.06047999999999999,100.00000000000388,100.0000000108323,100.00000074234316,100.00001037906023,100.00006289863009,100.00023228183673,100.00062419175799,100.00135111516848,100.0025076961636,100.00415601548174,100.00632168727287,100.00899743439777,100.01215031489285,100.01572979890717,100.01967510717097,100.02392113332957,100.0284028246356,100.03305817385777,100.03783008182421,100.04266736300795,100.0475251360858,100.0523647959504
0.060719999999999996,100.0000000000031,100.00000000924587,100.00000065676177,100.00000938978434,100.00005778133031,100.00021578269335,100.00058482481558,100.00127445859592,100.00237836455742,100.00395950809748,100.00604570182101,100.00863257278444,100.01169028443286,100.0151712661366,100.01901735004121,100.02316560273407,100.02755268951702,100.03211789410736,100.03680503160254,100.04156351296812,100.04634879445591,100.05112240379626
0.06095999999999999,100.00000000000246,100.00000000788712,100.0000005807886,100.00000849175846,100.0000530644124,100.00020040357356,100.00054781591759,100.00120190684494,100.00225528888566,100.00377166022082,100.00578087444697,100.00828132581233,100.01124617800141,100.0146307477697,100.01837943637653,100.02243146469242,100.02672521493831,100.0312012727576,100.0358043862056,100.04048458578671,100.04519769029862,100.04990538551975
0.0612,100.00000000000196,100.0000000067241,100.00000051337592,100.00000767687025,100.00004871792284,100.00018607237564,100.000513032265,100.00113325509554,100.00213818979819,100.00359212301329,100.00552679696712,100.00794323872469,100.0108175077115,100.01410773558214,100.01776084899504,100.02171820268548,100.02591989283569,100.03030781626336,100.03482767112665,100.03943012919285,100.04407139567827,100.04871333873103
0.061439999999999995,100.00000000000156,100.00000000572919,100.00000045358664,100.00000693769884,100.00004471403422,100.00017272135133,100.0004803479855,100.00106830786196,100.00202679916273,100.0034205600579,100.00528307414466,100.00761786965263,100.01040379805283,100.01360173289694,100.01716108123331,100.02102530958024,100.02513622336788,100.02943703815872,100.03387441784984,100.03839969589443,100.04296948671352,100.04754586426236
0.06167999999999999,100.00000000000124,100.00000000487863,100.00000040058298,100.00000626745874,100.00004102690367,100.00016028686349,100.00044964380697,100.00100687861776,100.00192085967983,100.00325664699504,100.00504932336733,100.00730478934604,100.01000458567898,100.01311225442615,100.01657963683782,100.02035228756421,100.02437371488675,100.02858845905713,100.03294416387385,100.03739284361986,100.04189154363267,100.04640256623303
0.061919999999999996,100.00000000000098,100.0000000041519,100.00000035361636,100.00000565994803,100.00003763253991,100.00014870915562,100.0004208067444,100.00094878943315,100.00182012450745,100.00310007116525,100.00482517432943,100.00700358090587,100.00961941919404,100.01263882611059,100.01601602985318,100.01969864807631,100.02363188390405,100.02776160664783,100.03203645273173,100.03640913515619,100.04083715082552,100.0452830521111
0.06215999999999999,100.00000000000078,100.00000000353135,100.00000031201822,100.00000510950049,100.00003450867858,100.00013793213324,100.00039372979944,100.00089387062431,100.00172435689568,100.00295053125924,100.0046102687179,100.00671383951845,100.00924785893923,100.01218098495805,100.01546978450786,100.01906391173445,100.02291025505465,100.0269560156882,100.03115083400691,100.0354481383835,100.03980589689165,100.04418693277202
0.0624,100.00000000000061,100.00000000300179,100.00000027519177,100.00000461094149,100.00003163466535,100.00012790315616,100.00036831167256,100.00084196041452,100.00163332983102,100.00280773697496,100.00440425990308,100.00643517219163,100.00888947677956,100.01173827887986,100.01494043509743,100.01844760825992,100.02220836105617,100.02617122799269,100.0302868633456,100.03450942630575,100.03879737468544,100.04311382255399
0.06264,100.00000000000048,100.00000000255014,100.00000024260456,100.00000415954726,100.00002899134624,100.00011857284143,100.00034445648717,100.00079290460683,100.00154682569033,100.00267140868158,100.00420681263364,100.00616719749307,100.00854385589054,100.01131026652641,100.01442752586537,100.0178492763988,100.0215257426651,100.02540679241797,100.02944410246549,100.03359257707817,100.03781118135778,100.0420633393104
0.06287999999999999,100.00000000000038,100.00000000216518,100.00000021378176,100.00000375100741,100.00002656096511,100.00010989487654,100.00032207352541,100.00074655626798,100.00146463590434,100.0025412770909,100.00401760273637,100.0059095452909,100.00821059054539,100.0108965171214,100.01393061088183,100.01726846384058,100.02086194862987,100.02466226484475,100.0286221191612,100.03269717403133,100.0368469183946,100.0410351044591
0.06312,100.0000000000003,100.00000000183725,100.00000018830013,100.00000338139037,100.00002432706732,100.00010182584214,100.00030107697519,100.00070277542335,100.00138656063055,100.0024170829357,100.00383631682047,100.00566185649681,100.00788928590286,100.01049661029526,100.01344925392043,100.01670472713394,100.02021653564069,100.02393720815634,100.02782048730612,100.03182280569182,100.03590419165214,100.04002874302883
0.06336,100.00000000000024,100.00000000155808,100.00000016578264,100.00000304711155,100.00002227440987,100.00009432504412,100.0002813856881,100.0006614287625,100.00131240843545,100.00229857665514,100.0036626519867,100.00542378281166,100.00757955779564,100.01011013591797,100.01298302833325,100.01615763160027,100.01958906827645,100.02323119221384,100.02703878685114,100.0309690657997,100.03498261138918,100.03904388370266
0.06359999999999999,100.00000000000018,100.00000000132056,100.00000014589354,100.00000274490405,100.00002038887708,100.00008735435463,100.00026292294784,100.0006223893554,100.00124199598575,100.00218551808743,100.00349631554137,100.00519498647377,100.00728103251967,100.00973669393096,100.01253151692414,100.01562675124453,100.01897911894872,100.02254379382833,100.02627660382008,100.03013555332286,100.03408179229625,100.03808015885858
0.06384,100.00000000000014,100.00000000111858,100.00000012833401,100.00000247179175,100.00001865740187,100.00008087806134,100.00024561624876,100.0005855363787,100.0011751477487,100.00207767616942,100.00333702471507,100.00497514001003,100.00699334662451,100.00937589417896,100.01209431182048,100.01511166866398,100.01838626784311,100.02187459673003,100.02553353030204,100.0293218724682,100.03320135352169,100.0371372046071
