Position_m,Temperature_t=0.00000000s,Temperature_t=2.00000000s,Temperature_t=4.00000000s,Temperature_t=6.00000000s,Temperature_t=8.00000000s,Temperature_t=10.00000000s,Temperature_t=12.00000000s,Temperature_t=14.00000000s,Temperature_t=16.00000000s,Temperature_t=18.00000000s
-0.10872,60.0,60.0,60.00000000091193,60.00000023840357,60.000005185724405,60.000036211077195,60.000137337244006,60.00036187062033,60.00075438837415,60.00134099431844
-0.10848,60.0,60.0,60.000000001001325,60.000000254993225,60.00000546358047,60.00003776984643,60.00014220320585,60.000372585946835,60.00077326030432,60.0013695778141
-0.10823999999999999,60.0,60.0,60.00000000109925,60.00000027270159,60.00000575596716,60.000039395849676,60.00014725023736,60.000383657120636,60.00079270610562,60.00139897287854
-0.10799999999999998,60.0,60.00000000000001,60.00000000120651,60.0000002916008,60.00000606358895,60.00004109163451,60.000152483808925,60.00039509281079,60.000812737134304,60.001429192629445
-0.10776,60.0,60.00000000000001,60.000000001323954,60.00000031176746,60.000006387183355,60.00004285984475,60.00015790956519,60.00040690192727,60.00083336502885,60.001460250480875
-0.10751999999999999,60.0,60.00000000000001,60.00000000145253,60.00000033328291,60.000006727522354,60.00004470322344,60.00016353332906,60.00041909362497,60.00085460171321,60.001492160145546
-0.10727999999999999,60.0,60.00000000000001,60.000000001593264,60.000000356233514,60.00000708541381,60.00004662461597,60.00016936110577,60.000431677307795,60.00087645940012,60.00152493563707
-0.10704,60.0,60.00000000000001,60.00000000174727,60.00000038071092,60.000007461703014,60.000048626973246,60.00017539908712,60.000444662632816,60.00089895059451,60.00155859127226
-0.10679999999999999,60.0,60.00000000000001,60.000000001915765,60.00000040681241,60.00000785727419,60.00005071335496,60.00018165365576,60.00045805951451,60.000922088096885,60.001593141673375
-0.10655999999999999,60.0,60.00000000000001,60.00000000210007,60.00000043464118,60.00000827305222,60.000052886932984,60.00018813138955,60.00047187812905,60.000945885006765,60.00162860177051
-0.10631999999999998,60.0,60.000000000000014,60.00000000230163,60.000000464306716,60.00000871000424,60.00005515099484,60.0001948390661,60.000486128918695,60.00097035472621,60.001664986803824
-0.10608,60.0,60.000000000000014,60.000000002522015,60.00000049592514,60.00000916914148,60.00005750894728,60.00020178366731,60.00050082259624,60.0009955109633,60.00170231232591
-0.10583999999999999,60.0,60.000000000000014,60.00000000276292,60.00000052961961,60.00000965152103,60.000059964319945,60.0002089723841,60.000515970149515,60.00102136773574,60.00174059420412
-0.10559999999999999,60.0,60.000000000000014,60.00000000302621,60.000000565520686,60.00001015824782,60.000062520769184,60.000216412621164,60.00053158284601,60.00104793937443,60.0017798486229
-0.10536,60.0,60.00000000000002,60.00000000331389,60.000000603766786,60.00001069047648,60.000065182081926,60.000224112001895,60.000547672237516,60.00107524052713,60.00182009208611
-0.10511999999999999,60.0,60.00000000000002,60.00000000362817,60.00000064450461,60.00001124941348,60.00006795217968,60.000232078373344,60.00056425016487,60.00110328616212,60.00186134141941
-0.10487999999999999,60.0,60.00000000000003,60.00000000397143,60.00000068788962,60.00001183631923,60.000070835122656,60.00024031981136,60.00058132876275,60.00113209157188,60.00190361377258
-0.10464,60.0,60.00000000000003,60.000000004346255,60.000000734086534,60.000012452510255,60.00007383511399,60.00024884462575,60.000598920464576,60.00116167237688,60.0019469266219
-0.10439999999999999,60.0,60.000000000000036,60.00000000475547,60.00000078326986,60.0000130993615,60.00007695650407,60.000257661365616,60.00061703800743,60.00119204452929,60.00199129777244
-0.10415999999999999,60.0,60.00000000000004,60.00000000520213,60.000000835624405,60.000013778308734,60.000080203795015,60.00026677882474,60.000635694437065,60.001223224316824,60.002036745360506
-0.10391999999999998,60.0,60.00000000000005,60.00000000568956,60.00000089134589,60.00001449085094,60.00008358164526,60.000276206047126,60.00065490311303,60.00125522836653,60.0020832878559
-0.10368,60.0,60.00000000000006,60.000000006221356,60.000000950641535,60.000015238552926,60.00008709487422,60.00028595233262,60.00067467771377,60.001288073648695,60.00213094406432
-0.10343999999999999,60.0,60.000000000000064,60.00000000680144,60.000001013730724,60.00001602304795,60.000090748467166,60.00029602724262,60.00069503224187,60.00132177748065,60.002179733129665
-0.10319999999999999,60.0,60.00000000000007,60.00000000743407,60.000001080845635,60.00001684604043,60.00009454758013,60.00030644060596,60.00071598102933,60.001356357530746,60.002229674536395
-0.10296,60.0,60.000000000000085,60.00000000812384,60.00000115223198,60.000017709308835,60.00009849754504,60.00031720252481,60.00073753874293,60.00139183182224,60.00228078811184
-0.10271999999999999,60.0,60.0000000000001,60.000000008875766,60.000001228149756,60.00001861470859,60.000102603874865,60.00032832338078,60.00075972038961,60.001428218737274,60.00233309402851
-0.10247999999999999,60.0,60.000000000000114,60.00000000969527,60.00000130887397,60.00001956417511,60.00010687226903,60.00033981384104,60.00078254132198,60.00146553702081,60.00238661280643
-0.10224,60.0,60.000000000000135,60.00000001058823,60.00000139469554,60.000020559727005,60.000111308618855,60.00035168486464,60.00080601724386,60.00150380578466,60.0024413653154
